ダウンロードした時刻：2020/04/06 11:13:40

,大阪,大阪,大阪
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2013/1/1,4.6,8,1
2013/1/2,8.0,8,1
2013/1/3,3.5,8,1
2013/1/4,2.4,8,1
2013/1/5,2.9,8,1
2013/1/6,4.3,8,1
2013/1/7,5.7,8,1
2013/1/8,5.9,8,1
2013/1/9,6.1,8,1
2013/1/10,5.0,8,1
2013/1/11,4.7,8,1
2013/1/12,4.9,8,1
2013/1/13,6.1,8,1
2013/1/14,6.0,8,1
2013/1/15,4.9,8,1
2013/1/16,5.0,8,1
2013/1/17,5.2,8,1
2013/1/18,2.7,8,1
2013/1/19,5.1,8,1
2013/1/20,6.7,8,1
2013/1/21,5.1,8,1
2013/1/22,7.9,8,1
2013/1/23,7.0,8,1
2013/1/24,7.4,8,1
2013/1/25,5.8,8,1
2013/1/26,3.4,8,1
2013/1/27,2.8,8,1
2013/1/28,3.4,8,1
2013/1/29,5.5,8,1
2013/1/30,7.4,8,1
2013/1/31,7.1,8,1
2013/2/1,8.9,8,1
2013/2/2,12.3,8,1
2013/2/3,9.0,8,1
2013/2/4,7.9,8,1
2013/2/5,6.7,8,1
2013/2/6,6.1,8,1
2013/2/7,6.7,8,1
2013/2/8,1.7,8,1
2013/2/9,2.8,8,1
2013/2/10,4.9,8,1
2013/2/11,5.4,8,1
2013/2/12,4.0,8,1
2013/2/13,6.0,8,1
2013/2/14,7.0,8,1
2013/2/15,5.4,8,1
2013/2/16,3.0,8,1
2013/2/17,2.6,8,1
2013/2/18,4.8,8,1
2013/2/19,3.5,8,1
2013/2/20,4.5,8,1
2013/2/21,4.0,8,1
2013/2/22,5.2,8,1
2013/2/23,5.0,8,1
2013/2/24,4.4,8,1
2013/2/25,3.3,8,1
2013/2/26,5.1,8,1
2013/2/27,7.7,8,1
2013/2/28,9.8,8,1
2013/3/1,11.0,8,1
2013/3/2,5.2,8,1
2013/3/3,4.5,8,1
2013/3/4,6.0,8,1
2013/3/5,8.1,8,1
2013/3/6,9.7,8,1
2013/3/7,12.5,8,1
2013/3/8,15.8,8,1
2013/3/9,16.8,8,1
2013/3/10,10.4,8,1
2013/3/11,6.5,8,1
2013/3/12,9.5,8,1
2013/3/13,13.2,8,1
2013/3/14,5.6,8,1
2013/3/15,6.9,8,1
2013/3/16,10.2,8,1
2013/3/17,12.2,8,1
2013/3/18,17.6,8,1
2013/3/19,16.8,8,1
2013/3/20,13.7,8,1
2013/3/21,7.5,8,1
2013/3/22,10.2,8,1
2013/3/23,10.6,8,1
2013/3/24,11.8,8,1
2013/3/25,10.3,8,1
2013/3/26,8.2,8,1
2013/3/27,10.5,8,1
2013/3/28,13.6,8,1
2013/3/29,13.9,8,1
2013/3/30,11.9,8,1
2013/3/31,11.9,8,1
2013/4/1,12.5,8,1
2013/4/2,13.9,8,1
2013/4/3,13.1,8,1
2013/4/4,15.3,8,1
2013/4/5,17.3,8,1
2013/4/6,16.7,8,1
2013/4/7,12.1,8,1
2013/4/8,11.7,8,1
2013/4/9,14.3,8,1
2013/4/10,11.8,8,1
2013/4/11,9.6,8,1
2013/4/12,10.3,8,1
2013/4/13,11.4,8,1
2013/4/14,15.8,8,1
2013/4/15,16.8,8,1
2013/4/16,18.2,8,1
2013/4/17,19.3,8,1
2013/4/18,18.9,8,1
2013/4/19,12.1,8,1
2013/4/20,10.4,8,1
2013/4/21,9.4,8,1
2013/4/22,11.3,8,1
2013/4/23,13.4,8,1
2013/4/24,14.6,8,1
2013/4/25,16.9,8,1
2013/4/26,15.0,8,1
2013/4/27,14.7,8,1
2013/4/28,16.4,8,1
2013/4/29,18.0,8,1
2013/4/30,16.3,8,1
